"Meaning A distant Place", "lana"
"Meaning A Distant Place", "lonna"
"Meaning A Division", "latham"
"Meaning A fork from river or glen", "lyre"
"Meaning A Harp or Lyre", "lyris"
"Meaning A Lion", "leo"
"Meaning A Long, Narrow Town", "langston"
"Meaning A Maiden from Lydia, Greece", "lydia"
"Meaning A Maiden from Lydia, Greece", "lydie"
"Meaning A Word", "lex"
"Meaning Alone, Solitude", "lorna"
"Meaning Angry Disregard", "liliha"
"Meaning Army or Soldier", "lasca"
"Meaning Attendant", "laddie"
"Meaning Attendant", "lanza"
"Meaning Baker", "leavitt"
"Meaning Barn", "lathrop"
"Meaning Beautiful Light", "lucinda"
"Meaning Beautiful Snow", "lixue"
"Meaning Beautiful", "lewa"
"Meaning Beloved by All", "lida"
"Meaning Beloved", "leif"
"Meaning Beloved", "lowell"
"Meaning Bluish Purple", "lilac"
"Meaning Brave Man / Lion Man", "leander"
"Meaning Bright Land", "lamia"
"Meaning Bright, Light", "lucien"
"Meaning Bright, Light", "lukas"
"Meaning Bringer of light", "luca"
"Meaning Bringer of Light", "lucas"
"Meaning Bringer of Light", "lucio"
"Meaning Bud", "liko"
"Meaning By the Island", "lundy"
"Meaning Camp Near Stream", "lyndsey"
"Meaning Canoe Maker", "leanne"
"Meaning Cheerful", "larissa"
"Meaning City in Belgium", "louvain"
"Meaning Combine Forces", "levia"
"Meaning Consecrated to God", "lisa"
"Meaning Consecrated to God", "lise"
"Meaning Consecrated to God", "lisette"
"Meaning Consecreted to God", "lesa"
"Meaning Crowned with Laurel", "larya"
"Meaning Crowned with Laurel", "laurel"
"Meaning Crowned with Laurel", "lauren"
"Meaning Crowned with Laurel", "laurent"
"Meaning Crowned with Laurel", "lorand"
"Meaning Crowned with Laurel", "lorant"
"Meaning Crowned with Laurel", "lorena"
"Meaning Crowned with Laurel", "lori"
"Meaning Crowned with Laurel", "lorie"
"Meaning Crowned with Laurel", "lorin"
"Meaning Daring Ones", "leopold"
"Meaning Dark Beauty", "layla"
"Meaning Dark Beauty", "leila"
"Meaning Dark", "lamya"
"Meaning Daughter of TANYA", "latanya"
"Meaning Defender of Mankind", "lexine"
"Meaning Delicate", "loman"
"Meaning Determined Guardian", "liam"
"Meaning Devoted to God", "lemuel"
"Meaning Dim. of LORETTA", "lorretta"
"Meaning Dove", "lalasa"
"Meaning Dragon", "long"
"Meaning Fair Speech", "lelia"
"Meaning Faithful", "leal"
"Meaning Faithful", "loyal"
"Meaning Famous Holy Man", "lajos"
"Meaning Famous in Battle", "louis"
"Meaning Famous in War", "loring"
"Meaning Famous Victories", "ludwig"
"Meaning Fatigued", "lea"
"Meaning Female Ruler", "leah"
"Meaning Female Version of Lane, an English Place Name", "lanelle"
"Meaning Female Warrior", "luana"
"Meaning Feminine form of LOUIS", "lois"
"Meaning Feminine form of LOUIS", "louisa"
"Meaning Field Meadow", "lee"
"Meaning Flaxen Colored", "linus"
"Meaning Flexible", "lyndon"
"Meaning Flint Stone", "lonato"
"Meaning Flower Name", "lan"
"Meaning Forest", "locke"
"Meaning Form of CARLOTA", "lola"
"Meaning Form of Eulalie", "lali"
"Meaning Form of JOAN", "lawanda"
"Meaning Form of LAZARUS", "laszlo"
"Meaning Form of LORRAINE", "laraine"
"Meaning Form of LUNA", "lunette"
"Meaning Form of RACHEL", "lahela"
"Meaning Fortress of the Moon", "london"
"Meaning Freedom", "liberty"
"Meaning From ALICIA", "lecea"
"Meaning From LANGSTON", "lankston"
"Meaning From LAURA", "loura"
"Meaning From Leicester", "lester"
"Meaning From LEILA", "laleh"
"Meaning From LETICIA", "latisha"
"Meaning From LOURA and ANA", "lourana"
"Meaning From the name ALEXANDER", "lexi"
"Meaning From the name CHARLOTTE", "lotta"
"Meaning From the name CHARLOTTE", "lotte"
