"____ fiction", "pulp"
"____ my way", "going"
""Farm boy, fetch me that pitcher."", "the princess bride"
""Gimme some sugar, baby."", "army of darkness"
""I wasn't even supposed to be here today!"", "clerks"
"A failed 80's action series repackaged as movies and shown on MST3K", "master ninja"
"A giant lizard terrorizes the Texas countryside; killed by a flaming car", "giant gila monster"
"A hockey mask on a dead guy", "friday the 13th"
"A jazz pianist is haunted by ghost of a girl he let fall from a lighthouse", "tormented"
"A soldier is hit with radiation and grows 50 feet tall", "the amazing colossal man"
"A vacationing family is ensnared by a Satanic cult (truly evil!)", "manos the hands of fate"
"A wife for a $1 million", "indecent proposal"
"Al Pacino, Steven Bauer, Michelle Pfeiffer, and Mary E. Mastrantonio", "scarface"
"american spies botch a soviet missile sabotage; in return, nyc is nuked", "rocket attack usa"
"An Irish soul band", "the commitments"
"around the world in ____ days", "80"
"Bela Lugosi had top billing even though he died before filming on this began", "plan 9 from outer space"
"bert i. gordon film with peter graves and giant grasshoppers", "beginning of the end"
"Bill Murray, Geena Davis, and Randy Quaid rob a bank", "quick change"
"Billy Crystal and Gregory Hines play Chicago police detectives", "running scared"
"Brad Pitt knifes a man in a bathroom stall", "kalifornia"
"Christopher Walken, Mary Stuart Masterson, Chris Penn, and Sean Penn", "at close range"
"Cop James Caan is assigned a partner from another planet", "alien nation"
"David Grant, Kevin Costner, and Rae Dawn Chong", "american flyers"
"Debra Winger has an affair with John Lithgow and dies of cancer", "terms of endearment"
"Debra Winger is turned prostitute and gets her finger cut off", "the piano"
"Denzel Washington falls for the daughter of an Asian Indian immigrant", "mississippi masala"
"Directed by sydney pollack, which film won the 1985 oscar for best picture", "out of africa"
"Director Barry Levinson gave the Fine Young Cannibals a cameo in which movie", "tin men"
"Ed Wood cross-dressing "classic"", "glen or glenda"
"Emma Thompson as "Beatrice"", "much ado about nothing"
"Fisher Stevens, Ally Sheedy, and Steve Guttenberg", "short circuit"
"from ____ with love", "russia"
"Gabriel Byrne teaches Bridget Fonda to be an assassin", "point of no return"
"Gamera fights a stupid-looking monster with a head like a giant blade", "gamera vs guiron"
"Gary Oldman hunts down a one-armed female Russian assasin", "romeo is bleeding"
"Griffin Dunn, Rosanna Arquette, and Terri Garr", "after hours"
"Jack Lemmon searches for his missing son in Chile during the Allende regime", "missing"
"Jessica Lange, Sissy Spaceck, and Diane Keaton play the McGrath sisters", "crimes of the heart"
"Jewish boy escapes death by impersonating a German and becoming a Nazi", "europa Europa"
"Julia Roberts, Cameron Diaz, and Dermot Mulroney with wedding bell blues", "my best Friends Wedding"
"Kevin Costner impersonates a buffalo", "dances with wolves"
"Lon Chaney Jr. is an executed killer brought back to life", "the indestructible man"
"Matthew Modine, Mercedes Ruehl, Dean Stockwell, and Michelle Pfeiffer", "married to the Mob"
"Mike Meyers as an English secret agent and an evil misbehaving world tyrant", "austin powers"
"Nicke Nolte, Eddie Murphy, Annette O' Toole, and Sonny Landham", "48 hours"
"Patrick Swayze, Cynthia Gibb, Ed Lauter, and Rob Lowe", "youngblood"
"Penelope Ann Miller, Sean Penn and Al Pacino", "carlitos way"
"Peter Sellers, George C. Scott, and Slim Pickens (short answer form)", "dr strangelove"
"Pierce Brosnan is a soviet agent (from the Forsyth novel)", "the fourth protocol"
"Sam Wheat", "ghost"
"Sam, a piano player in a bar", "casablanca"
"Scissor-hands", "edward scissorhands"
"Sean Connery's brother Neil as a secret agent (yes, it really happened!)", "operation double 007"
"set in caveman days, yet tire tracks can be seen in the background", "cave dwellers"
"Snowy mountain cannibalism", "alive"
"Stephen Rea, Miranda Richardson, Jaye Davidson, and Forest Whitaker", "the crying Game"
"Steve McQueen's first starring role was in this 1958 B-Movie", "the blob"
"Ted Danson, Isabella Rossellini, Sean Young, and William Peterson", "cousins"
"The ____ Worker (1962)", "miracle"
"the african ____", "queen"
"The best-known X-rated animated film", "fritz the cat"
"The Three Faces Of ____", "eve"
"This dreadful Fu Manchu film had the MST3K guys HOWLING in pain", "castle of fu manchu"
"This WAY overbudget epic was nicknamed "Fishtar"", "waterworld"
"Tom Berenger, Willem DaFoe, Charlie Sheen, and Francesco Quinn", "platoon"
"Tom Cruise plays a high school football player", "all the right moves"
"Virginia Madsen, Peter O' Toole, Vincent Spano, and Muriel Hemingway", "creator"
"What 1976 film popularized the line 'I'm mad as hell and I'm not going to take it anymore!'", "Network"
"Which 1968 Film was Goldie Hawn's debut", "The One and Only Genuine Family Band"
"Will Smith knifes himself to get aquantied with high society folks", "six degrees of Seperation"
"woman, two kids transported into the future where apes are in control", "time of the apes"
