"Meaning A Sign", "zion"
"Meaning Alive", "zivan"
"Meaning Beautiful", "zene"
"Meaning Beauty", "zayn"
"Meaning Brilliant and Lovely", "zuleika"
"Meaning Brilliant, Ahead", "zula"
"Meaning Consecrated to God", "zizi"
"Meaning Created", "zinna"
"Meaning Departure", "zoan"
"Meaning Earth", "zola"
"Meaning Elder", "zaide"
"Meaning Exalted/Honored", "zebulon"
"Meaning Female", "zaila"
"Meaning First born of twins", "zesiro"
"Meaning Flower", "zahur"
"Meaning FROM Teresa", "zyta"
"Meaning From the Flower", "zinnia"
"Meaning From the name John", "zane"
"Meaning From the name SARA", "zara"
"Meaning From the name SUSAN", "zsa"
"Meaning From the name ZAZA", "zazu"
"Meaning From Zaire", "zaire"
"Meaning From ZEDEKIAH", "zed"
"Meaning Gazelle", "zwi"
"Meaning Generous", "zenas"
"Meaning God is Fair", "zedekiah"
"Meaning God of Fatherhood", "zaci"
"Meaning Gold", "zeheb"
"Meaning Golden", "zarina"
"Meaning Good Fortune", "zada"
"Meaning Growing", "zaida"
"Meaning Guardian", "zareb"
"Meaning Healthy and Vigorous", "zulema"
"Meaning Help of God", "ziraili"
"Meaning Hospitable", "zena"
"Meaning Hospitable", "zenia"
"Meaning I Have no Child", "zef"
"Meaning Innocent", "zaccheus"
"Meaning Irish Saint", "zephan"
"Meaning Life", "zoe"
"Meaning Life", "zoey"
"Meaning Life", "zoie"
"Meaning Life", "zoltan"
"Meaning Life", "zoltin"
"Meaning Light, Brilliance", "zohar"
"Meaning Light", "ziya"
"Meaning Lily", "zanna"
"Meaning May God Protect the King", "zarek"
"Meaning Movement", "zaza"
"Meaning My Shadow", "zili"
"Meaning My Shadow", "zilli"
"Meaning Peaceful & Quiet", "zalman"
"Meaning Present", "zavad"
"Meaning Protected, Sacred", "zimri"
"Meaning Protector", "zareh"
"Meaning Rainbow", "ziazan"
"Meaning Remembered by the Lord", "zachariah"
"Meaning Remembrance of the Lord", "zach"
"Meaning Remembrance of the Lord", "zachary"
"Meaning Respected, Wise", "zeroun"
"Meaning Rose Flower", "zytka"
"Meaning Sash", "zona"
"Meaning Sign, Symbol", "zenobia"
"Meaning Smart", "zeki"
"Meaning Spiritual Leader", "zo"
"Meaning Splendor", "ziva"
"Meaning Stranger", "zenon"
"Meaning Strength of God", "zeke"
"Meaning Successful", "zarifa"
"Meaning Thank You", "zikomo"
"Meaning The Blessed One", "zelig"
"Meaning The Lord is my Rock", "zuriel"
"Meaning The Seeker", "zita"
"Meaning To get rid of Anger", "zbigniew"
"Meaning To Tremble", "zia"
"Meaning Trap", "zared"
"Meaning Very Bright", "ziv"
"Meaning Vigorous, Alive", "ziven"
"Meaning Well Fed", "zan"
"Meaning Wheat", "zea"
"Meaning White Wave", "zenevieva"
"Meaning Wisdom", "zofia"
"Meaning Wolf", "zev"
"Meaning Woman Warrior", "zelda"
"Meaning Zeal", "zelia"
"Meaning Zeus", "zeno"
