"____ (breakdance)", "breakin'"
"____ 182", "turk"
"____ a little dream", "dream"
"____ adults", "consenting"
"____ alive", "staying"
"____ all odds", "against"
"____ and cash", "tango"
"____ at bernie's", "weekend"
"____ back", "jack's"
"____ be good", "johnny"
"____ beach, usa", "sizzle"
"____ beauty", "fatal"
"____ beverly hills", "troop"
"____ big adventure", "peewee's"
"____ blues", "oxford"
"____ boys", "bad"
"____ boys", "catholic"
"____ business", "big"
"____ by me", "stand"
"____ can wait", "heaven"
"____ candles", "sixteen"
"____ comfort", "southern"
"____ cowboy", "drugstore"
"____ date", "blind"
"____ dawn", "red"
"____ dog", "white"
"____ dreams", "electric"
"____ eye", "cat's"
"____ from heaven", "pennies"
"____ girl", "valley"
"____ girl", "working"
"____ groove", "krush"
"____ gun", "top"
"____ guns", "young"
"____ hard", "die"
"____ heat", "body"
"____ help us", "heaven"
"____ hours", "48"
"____ in heaven", "made"
"____ in pink", "pretty"
"____ jones & the temple of doom", "indiana"
"____ just wanna have fun", "girls"
"____ last dragon", "the"
"____ like us", "spies"
"____ live", "they"
"____ love", "endless"
"____ lovers", "summer"
"____ man", "rain"
"____ man", "repo"
"____ night", "fright"
"____ of a kind", "two"
"____ of bounds", "out"
"____ of day", "light"
"____ of dreams", "field"
"____ of endearment", "terms"
"____ of fire", "chariots"
"____ of hearts", "thief"
"____ of hell", "gates"
"____ of love", "sea"
"____ of me", "all"
"____ of the living dead", "city"
"____ of the living dead", "return"
"____ of the spider woman", "kiss"
"____ of the universe", "masters"
"____ of war", "casualties"
"____ on me", "lean"
"____ on the fourth of july", "born"
"____ party", "bachelor"
"____ people", "ordinary"
"____ people", "ruthless"
"____ pirates", "ice"
"____ places", "trading"
"____ quest", "vision"
"____ rain", "purple"
"____ runner", "blade"
"____ school", "summer"
"____ science", "weird"
"____ seeking susan", "desperately"
"____ shop of horrors", "little"
"____ states", "altered"
"____ street", "beat"
"____ street", "wall"
"____ surprise", "shanghai"
"____ taste", "bad"
"____ That Girl?", "Who's"
"____ the 13th", "friday"
"____ the duck", "howard"
"____ the right thing", "do"
"____ the stone", "romancing"
"____ to america", "coming"
"____ to five", "nine"
"____ to kill", "dressed"
"____ to order", "maid"
"____ to the mob", "married"
"____ troopers", "zone"
"____ up the volume", "pump"
"____ weapon", "lethal"
"____ witch", "teen"
"____ wolf", "teen"
"____ women on the moon", "amazon"
"____-a-cop", "rent"
"____, trains and automobiles", "planes"
"____balls", "meat"
"____boy", "rat"
"____dance", "flash"
"____man", "dark"
"____raiser", "hell"
"____scape", "dream"
"____shack", "caddy"
"____show", "creep"
"____space", "inner"
""A woman is a hole, isn't that what they say?"", "Witches of Eastwick"
""Class dismissed. I have an enormous headache in my eye."", "Throw Mama"
""Did you have a brain tumor for breakfast?"", "Heathers"
