"Meaning 7", "seven"
"Meaning 8th Month", "september"
"Meaning A Clear Sign", "sinclair"
"Meaning A Clear Sign", "synclair"
"Meaning A Crossing", "sanford"
"Meaning A Crown", "steven"
"Meaning A Flat clearing", "sharon"
"Meaning A Gift", "shay"
"Meaning A Grove", "shaw"
"Meaning A House", "studs"
"Meaning A mound or rampart", "sonnagh"
"Meaning A Rose or Lily", "susan"
"Meaning A Saint", "santo"
"Meaning A Sheltered Town", "shelby"
"Meaning A Sign, Symbol", "senalda"
"Meaning A Sign", "seema"
"Meaning A Song", "sheera"
"Meaning A Song", "shira"
"Meaning A Star", "star"
"Meaning A Storm", "storm"
"Meaning Administrator", "spencer"
"Meaning Ancient God", "shannon"
"Meaning Ancient Philosopher", "socrates"
"Meaning Appointed", "seth"
"Meaning Attendant", "sergio"
"Meaning Auspicious", "shubha"
"Meaning Bag", "satchel"
"Meaning Beautiful Thought", "suchin"
"Meaning Beautiful", "shaina"
"Meaning Believe", "sadiki"
"Meaning Beloved, Dearest", "sheri"
"Meaning Beloved, Dearest", "sherine"
"Meaning Beloved", "sherri"
"Meaning Beloved", "sherry"
"Meaning Beloved", "sheryl"
"Meaning Beloved", "suki"
"Meaning Black", "sierra"
"Meaning Blind", "selia"
"Meaning Blind", "shelagh"
"Meaning Blind", "shiela"
"Meaning Born on Sunday", "sondo"
"Meaning Borrowed", "saul"
"Meaning Bright as the Sun", "samson"
"Meaning Bright Light", "sveta"
"Meaning Bright Meadow", "shirlyn"
"Meaning Brilliant, of the Sun", "sunny"
"Meaning Brings Comfort, Peace", "selima"
"Meaning Camp glory", "stanislaus"
"Meaning Celtic", "shalaidah"
"Meaning Chief", "sarki"
"Meaning Child of the Valley", "slade"
"Meaning Chirping Songbird", "sora"
"Meaning Comfort", "solace"
"Meaning Contraction of St. Denys", "sidney"
"Meaning Contraction of St. Denys", "sydnee"
"Meaning Contraction of St. Denys", "sydney"
"Meaning Crowned One", "stesha"
"Meaning Crowned with Wreath", "stavros"
"Meaning Delight", "sevinc"
"Meaning Desert Plain", "sharne"
"Meaning Dim. of CECELIA or SHELDON", "shelley"
"Meaning Dim. of CECELIA or SHELDON", "shelly"
"Meaning Dim. of SNOW", "snowy"
"Meaning Divine Omen", "sema"
"Meaning Divine Woman", "shakti"
"Meaning Early Morning, Dawn", "shacher"
"Meaning Excellent", "saraid"
"Meaning Fair Complected", "snow"
"Meaning Fair", "selma"
"Meaning Fairy Place", "shea"
"Meaning Fairytale", "satu"
"Meaning Farmer", "seoras"
"Meaning Fem. form of John", "shona"
"Meaning Fem. form of SHAUN", "shauna"
"Meaning Fem. form of SHAUN", "shaunna"
"Meaning Fem. form of SHAUN", "shawna"
"Meaning First Explorer", "scout"
"Meaning Flaming Red", "scarlet"
"Meaning Flat Meadow", "smedley"
"Meaning Flat Plain", "sharis"
"Meaning Flower", "sidonie"
"Meaning Force, Truth", "seiko"
"Meaning Forest Voices", "seda"
"Meaning Forest", "silvain"
"Meaning Forest", "silvana"
"Meaning Form of Isabel", "sybil"
"Meaning Form of SARAH or Bright", "sorcha"
"Meaning Form of SARAH", "sally"
"Meaning Form of SEBASTIAN", "sebastien"
"Meaning From ALEXANDER", "sandro"
"Meaning From SALVATORE and IRENE", "salene"
"Meaning From SELENA", "selene"
"Meaning From SERAFINA", "sera"
"Meaning FROM SHANNON", "shannen"
"Meaning From SHEA and DON", "sheadon"
"Meaning From STEPHANIE", "stefanie"
