""Entre nous" means ____", "between ourselves"
""faux pas" means ____", "mistake"
"Afrikaans developed from which language", "dutch"
"Derived from Dutch and used in South Africa", "afrikaans"
"Francophone Quebeckers speak", "quebecois"
"From what Irish words is 'Dublin' derived", "dubh linn"
"From what language is the term 'finito'", "Italian"
"In the Philippines, ____ means Hello", "mabuhay"
"In the philippines, mabuhay means____", "hello"
"Language of the Pathans", "pushtu"
"Mardi Gras is French for ____", "fat tuesday"
"Merging the words 'melt' and 'weld' created which word", "meld"
"Of the gypsies", "romany"
"Other than Germany, whose official language is German", "Austria"
"Subject, verb and object are parts of a ____", "sentence"
"The name Australia is derived from the Latin word "australis" which means ____", "southern"
"The name for this semi-precious stone comes from the Latin for "sea water"", "aquamarine"
"The word rodent comes from the italian 'rodere', which means", "gnaw"
"This animal is found at the beginning of an (English) encyclopedia", "aardvark"
"Type of Alphabet used in Russian, Bulgarian, Serbian etc", "Cyrillic"
"Type the english alphabet", "abcdefghijklmnopqrstuvwxyz"
"What city's name is derived from the words 'dubh linn'", "Dublin"
"What does 'alma mater' mean in English", "bountiful mother"
"What does 'majuba' mean", "place of rock pigeons"
"What does 'shogun' mean in English", "military governor"
"What does "c'est la vie" mean", "that's life"
"What does the Irish 'dubh linn' mean", "black pool"
"What does the word 'karate' translate to in English", "open hand"
"What is 'blackpool' in Irish", "dubh linn"
"What is 'bountiful mother' in Latin", "alma mater"
"What is 'military governor' in Japanese", "shogun"
"What is the English word for 'fiesta'", "festival"
"What is the Israeli 'knesset'", "parliament"
"What is the language of Hungary", "Magyar"
"What is the literal meaning of 'pince-nez'", "pinch nose"
"What is the meaning of the Mercedes Benz motto 'Das beste oder nichts'", "The best or nothing"
"What is the official language of Austria", "german"
"What is the Old English word for 'sneeze'", "fneasan"
"What is the only English word formed by the first three letters of the alphabet", "cab"
"What is the Spanish word for 'festival'", "fiesta"
"What kind of words are mine, your, his, her, our, and their", "possessive pronouns"
"What letter ends all japanese words not ending with a vowel", "n"
"What ONE word fits ____hood; ____hole; ____date", "man"
"What ONE word fits ____stream; ____hill; ____pour", "down"
"What three letter word means the same as "to ingest"", "eat"
"What two words make the word 'meld'", "melt and weld"
"What was the language of ancient India", "Sanskrit"
