"Meaning A Breath", "abel"
"Meaning A Dream", "aislinn"
"Meaning A follower of Thor", "arthur"
"Meaning A Rock", "art"
"Meaning Actor", "anoki"
"Meaning alt form of Acacia", "asasia"
"Meaning Amber Colored / Red", "amber"
"Meaning Ambitious", "almeda"
"Meaning Angel", "arella"
"Meaning Angelic", "angel"
"Meaning Angelic", "angela"
"Meaning Angelic", "angelica"
"Meaning Angelic", "angelina"
"Meaning Angelic", "angelo"
"Meaning April", "abril"
"Meaning Ash Tree Farm", "ashby"
"Meaning Ash Tree Settlement", "ashton"
"Meaning Attractive, Peaceful", "allene"
"Meaning Basket", "adita"
"Meaning Bearded One", "algeron"
"Meaning Beautiful Addition", "adah"
"Meaning Beautiful Altar", "arabela"
"Meaning Beautiful Altar", "arabella"
"Meaning Beautiful Girl", "adamma"
"Meaning Beautiful", "ani"
"Meaning Beloved Friend", "aimee"
"Meaning Beloved One", "adora"
"Meaning Beloved One", "aiko"
"Meaning Beloved", "amy"
"Meaning Beloved", "aziza"
"Meaning Best", "arista"
"Meaning Bird", "aya"
"Meaning Birds", "avis"
"Meaning Blessed, Happy", "asher"
"Meaning Bliss", "anando"
"Meaning Blossom", "adsila"
"Meaning Bold, Bowman", "arch"
"Meaning Bold", "arkadiy"
"Meaning Born at Dawn", "asa"
"Meaning Bowman", "archer"
"Meaning Breath", "anemone"
"Meaning Breath", "avel"
"Meaning Bright as a Star", "asta"
"Meaning Bringer of Good Things", "avedis"
"Meaning Chaste One", "adara"
"Meaning Cheerful, Full of Energy", "allegra"
"Meaning Cheerful/Merry", "alair"
"Meaning Cherished One", "ahava"
"Meaning Child Born After Grandmother Died", "abiba"
"Meaning Children of the Wind", "anila"
"Meaning Clothes Worn on Outside", "aderes"
"Meaning Cloud from Heaven", "aolani"
"Meaning Counselor", "alfred"
"Meaning Courageous", "andie"
"Meaning Courageous", "andrea"
"Meaning Crown, Royal", "ade"
"Meaning Dark, Rich", "adriana"
"Meaning Dark, Rich", "adrienne"
"Meaning Dawn", "aurora"
"Meaning Dead and Awake", "akuji"
"Meaning Decoration", "adie"
"Meaning Defender of Mankind", "alexandria"
"Meaning Defender of Mankind", "alexia"
"Meaning Defender", "aliya"
"Meaning Delicious", "aulii"
"Meaning Divine Strength", "astrid"
