"(In French and In German) - Same as mass", "messe"
"(In French and In German) - Style galant. Courtly. This term, adopted by German writers, refers to a mid-18th century style characterised by a homophonic, formal elegance as opposed to the German contrapuntal traditional style. This was practised by C.P.E. Bach and influenced Mozart", "galant"
"(In French and In Italian) - Fasy, fluent", "facile"
"(In French, 'a following') - Commonly describes an instrumental piece in several movements consisting of a sequence of dances. In the 17th and 18th centuries, the suite included the characteristic dance forms allemande, courante, sarabande and gigue. In the mid-18th century, the binary form feature of the dances was developed into sonata form. The sonata and also the symphony then became the chief instrumental forms. In the l9th and 20th centuries the term describes a lighter work than a sonata. A suite may also describe a set of movements assembled from a ballet or opera score", "suite"
"(In French, 'amusement') - (I) Entertainment in ballet form, sometimes with songs, found in operas or plays for contrast (e.g. the operas of Lully. (2) Same as divertimento. (3) Instrumental piece or fantasia employing popular tunes", "divertissement"
"(In French, 'concrete music') - Music in which natural sounds (instrumental, vocal or other) were recorded on tape and then distorted, combined, etc. This term was coined by Peter Schaeffer in 1948 but it has largely been superseded by electronic music", "musique concrete"
"(In French, 'cunning') - In opera or operetta, this often describes a soprano singing the role of a shrewd, rather pert servant girl", "soubrette"
"(In French, 'damp') - Indication to harp or cymbal players, etc. that sound must be immediately cut short", "etouffez"
"(In French, 'dry') - An indication that a note or chord is to be played sharply", "sec"
"(In French, 'enjoyment') - This title is sometimes found in spirited movements in suites of the baroque period", "rejouissance"
"(In French, 'fixed idea') - Berlioz' term for motto theme which means a recurring theme in a composition used (e.g. in his Symphonie Fantastique)", "idee fixe"
"(In French, 'follow') - (1) Go staight on to the next section or movement without a break; (2) An indication to an accompanist to follow any changes in tempo made by the soloist", "suivez"
"(In French, 'study') - An instrumental piece to improve or demonstrate certain technical points. However, many etudes (such as those by Chopin) have great artistic merit", "etude"
"(In French, 'together') - (l) A small group of performers (e.g. a vocal or instrumental ensemble; (2) In opera, an ensemble is an selection for several soloists with or without chorus", "ensemble"
"(In French) - (1) A term sometimes used in English for leitmotif. (2) Sarne as motiv or motive", "motif"
"(In French) - (1) Brilliant, bright; (2) Blaring. cossaise (In French) - Short for danse ecossaise. Although meaning Scottish dance, the term is apparently not of Scottish origin. A quick dance in 2 / 4 time, it was popular in Britain and on the Continent in the late 18th and early 19th centuries. Cultivated by Beethoven", "clatant"
"(In French) - (1) Repeat; (2) The recapitulation in sonata form; (3) The return to the first section after contrasting music in the second section in binary form", "reprise"
"(In French) - (I) Interval during a play or opera. (2) Music to be played between the acts of a play or opera", "entr'acte"
"(In French) - A dance of Provence in 6 / 8 time accompanied by pipe and tabor", "farandole"
"(In French) - A light, often satirical opera or operetta (e.g. by Offenbach)", "opera bouffe"
"(In French) - A lively dance in triple time popular in the baroque period and found in the suite", "courante"
"(In French) - A piece composed deliberately in the style of another well- known composer. See also pasticcio above", "pastiche"
"(In French) - A popular dance form in the 13th and 14th centuries consisting of several sections (puncta) each of which has a first ending (ouvert) and a second ending (clos)", "estampie"
"(In French) - A type of French medieval song of the 13th to15th centuries with a choral refrain. This French spelling was used in instrumental works of the baroque period to describe rondo", "rondeau"
"(In French) - A type of trouvere song similar to the sequence with sections of irregular length and melodic repetition", "lai"
"(In French) - A wordless composition for performance (e.g. in an opera or as an exercise for solo voice)", "vocalise"
"(In French) - Again. Refers to an extra selection performed by musicians after a program in response to audience applause. French term is bis", "encore"
"(In French) - Beat", "temps"
"(In French) - Chiefly a 17th century French music term for (I) an introductory piece for the entry of characters in ballet or opera; (2) an independent instrumental piece of similar nature; (3) the equivalent of a scene or act in ballet or opera", "entree"
"(In French) - Damped sound. Mostly found in harp music indicating that the performer should dampen vibrations immediately after plucking, to produce a 'dry' sound", "sons etouffes"
"(In French) - Empty. Cordc a vide, open string", "vide"
"(In French) - Falsetto", "fausset"
"(In French) - Fast", "vite"
"(In French) - Held back", "retenu"
"(In French) - I) Melody. (2) Song", "melodie"
"(In French) - In various contexts this term may mean either note, tone or key", "ton"
"(In French) - Increase speed", "pressez"
"(In French) - Light", "leger"
"(In French) - Link together (e.g. go straight on to the next section or movement without a break)", "encha nez"
"(In French) - Little", "petit"
"(In French) - Lively", "vif"
"(In French) - March", "marche"
"(In French) - Music designed to improve a specific branch of technique by practice. Chopin and Clementi, however, wrote many of artistic merit", "etude"
"(In French) - Operetta", "operette"
"(In French) - Point of the bow", "pointe d'archet"
"(In French) - Same as intermezzo", "intermede"
"(In French) - Same as sul tasto", "sur la touche"
"(In French) - Stopped notes on the horn", "sons bouches"
"(In French) - Sustained and flowing", "soutenu"
"(In French) - The coach, usually in an opera house, who teaches singers their parts. The repetiteur may also give them cues during the performance", "repetiteur"
"(In French) - The correct position of lips to the mouthpiece of an instrument to produce accurate intonation and good tone", "embouchure"
"(In French) - The end of the bow (held by the player)", "talcon"
"(In French) - The surprising sound of a major third at the end of a piece otherwise in a minor key thus converting the expected minor chord to a major one. This was a common device up to the mid-18th century", "tierce de picardie"
"(In French) - Trill", "tremblement"
"(In French) - Up bow as opposed to tire, down bow", "pousse"
"(In French) - Waltz", "valse"
"(In French) or conservatory - A school for musical training", "conservatoire"
"(In French) Rehearsal. Repetition General is the dress rehearsal, often given before a full, but invited audience, in continental opera houses", "repetition"
"(In French), galanter stil (In German) - The musical equivalent of the rococo style in painting. The term described the homophonic but ornamented French and Italian music between 1730 and 1770 written by Couperin and D. Scarlatti. It contrasted with the German contrapuntal style", "style galant"
"(In French), humoreske (In German) - An instrumental composition of a capricious nature. Schumann wrote in this style", "humoresque"
"(In French), lclangfarbe (In German) - This is the characteristic quality of an instrument's or voice's tone. In basic terms it is the quality which distinguishes a note performed on one instrument compared with the same note sounded on an other instrument or sung by a voice The tone colour of an instrument corresponds with the harmonics of that instrument", "timbre"
"(In French), menuett (In German) - Same as minuet", "menuet"
"(In French), sonoro (In Italian) - With full tone", "sonore"
"(from Italian toccare, 'to touch') - Generally a solo instrumental piece involving rapid changes of notes to demonstrate the player's touch. Often the toccata is followed by a fugue (e.g. Toccata and Fugue in D minor)", "toccata"
"(from Latin cantus planus) - Medieval church music usually describing the gregorian chant which still survives today in the Roman Catholic church. It consists of a single, unaccompanied vocal line in free rhythm like speech with no regular bar lengths", "plainsong"
"(Gael.) - Same as mouth music", "port a beul"
"(In German ) - Cheerful, jolly", "lustig"
"(In German ) - Speechsong. Voice delivery midway between song and speech, used mostly by Schonberg although he preferred the terms sprechstimme (speaking voice), sprechmelodic (speech melody) or rezitation", "sprechgesang"
"(In German plural, 'Scottish') - A popular l9th century ballroom dance similar to the polka", "schottische"
"(In German, 'after dance') - A quick dance used to follow a slow one", "nachtanz"
"(In German, 'blaring' ) - An indication to horn players to use a harsh brassy tone", "schmetternd"
"(In German, 'play with singing') - Generally the singspiel is a comic opera with spoken dialogue in the local dialect instead of recitative. An example is Mozart's The Magic Flute (1791). In the early l9th century the style combined with German romantic opera and later came to be known simply as 'German musical comedy'", "singspiel"
"(In German, 'storm and stress') - The powerful romantic expressiveness sweeping Austrian and German music in the 1760s and 1770s was so called. Especially evident in Haydn's symphonies of that time", "sturm und drang"
"(In German, 'table music') - Music suitable for social gatherings (e.g. for performance after or during a dinner)", "tafelmusik"
"(In German, plural lieder) - Song. This term is particularly applied to the German romantic songs of Schubert, Schumann and Brahms. A characteristic is the importance paid to the piano part and the mood of the words", "lied"
"(In German) - A bow stroke", "strich"
"(In German) - A composition, piece", "stuck"
"(In German) - A light tenor voice in opera", "spieltenor"
"(In German) - A prelude", "vorspiel"
"(In German) - A setting. (1) A musical setting; (2) A movement in a composition; (3) Style (e.g. freier satz, free style; (4) A theme or subject", "satz"
"(In German) - A short piece similar to capriccio or intermezzo", "fantasiestuck"
"(In German) - Alliteration. This term describes the alliterative verse used by Wagner in his music dramas", "stabreim"
"(In German) - An appoggiatura", "vorschlag"
"(In German) - An interlude or episode (e.g. in a fugue or rondo)", "zwischenspiel"
"(In German) - An opera term for a 'sitting rehearsal' when all performers sing through the roles while sitting down, with the accompaniments played by the orchestra", "sitz-probe"
"(In German) - At a moderate speed", "gehend"
"(In German) - Beat", "schlag"
"(In German) - Chamber. Kammerrnusik, chamber music", "kammer"
"(In German) - Cheerful", "heiter"
"(In German) - Clef", "schlussel"
"(In German) - Cradle song", "wiegenlied"
"(In German) - Dance", "tanz"
"(In German) - Detached. Same as staccato", "gestossen"
"(In German) - Drinking song", "trinklied"
"(In German) - Dying away, fading", "schwindend"
"(In German) - Easy going, cosy, comfortable", "gemutlich"
"(In German) - End", "schluss"
"(In German) - Exercise", "ubung"
"(In German) - Fantasy", "phantasie"
"(In German) - Fast. Schneller, quicker", "schnell"
"(In German) - Flowing", "fliessend"
"(In German) - Fugue", "fuge"
"(In German) - Heavy, weighty", "wuchtig"
"(In German) - Held back, tempo sustained", "gemessen"
"(In German) - Hindemith's term for works (mainly in the 1920s) intended to be closer to the public and directed to a social or educational purpose, utilising idioms in everyday use. Gebrauchmusik was represented in many forms, including music written to be played by anyone", "gebrauchmusik"
"(In German) - Holding back, slowing down", "zuruckhaltend"
"(In German) - Indication to pianists to use the soft (left) pedal", "verschiebung"
"(In German) - Intimate, heartfelt", "innig"
"(In German) - Inversion, reversal", "umkehrung"
"(In German) - Leading motif. This is a recurring theme symbolising a character, emotion or object and was first used by H. Von Wolzogen in a discussion of Wagner's The Ring", "leitmotif"
"(In German) - Lightly", "leicht"
"(In German) - Little", "klein"
"(In German) - Lively", "lebhaft"
"(In German) - Loud, strong", "stark"
"(In German) - Markedly", "gut"
"(In German) - Muted", "gedampft"
"(In German) - Note or sound (not the interval of a tone, i.e. two semitones)", "ton"
"(In German) - Optional dances (e.g. polonaise or minuet) in the 18th century suite, normally placed between the sarabande and gigue", "galantieren"
"(In German) - Ornament in German music in the 17th and 18th centuries", "nachschlag"
"(In German) - Over, above", "uber"
"(In German) - Rather slow", "ziemlich langsam"
"(In German) - Rather", "ziemlich"
"(In German) - Rattle", "ratsche"
"(In German) - Recitative", "rezitativ"
"(In German) - Restless", "unruhig"
"(In German) - Sacred", "geistlich"
"(In German) - Sad", "traurig"
"(In German) - Same as utility music", "gebrauchmusik"
"(In German) - Serenade or 'night music'. A title used in Mozart's Eine Klcine Nachtmusik", "nachtmusik"
"(In German) - Simply", "einfach"
"(In German) - Slow and sustained. Same as sostenuto", "getragen"
"(In German) - Smooth. Same as legato", "geschleift"
"(In German) - Soft, gentle. Leiser, softer", "leise"
"(In German) - Songful", "gesangvoll"
"(In German) - Stepwise, at a walking pace and equivalent of andante", "schrittmassig"
"(In German) - Sustained. Cutgehalten, well sustained", "gehalten"
"(In German) - Swing. Schwungvol, spirited", "schwung"
"(In German) - Symphony", "sinfonie"
"(In German) - Tempo", "zeitmass"
"(In German) - Tender", "zart"
"(In German) - tenderly", "Zartlich"
"(In German) - tenderness", "Zarthcit"
"(In German) - Time", "mal"
"(In German) - To drag. Schleppend, dragging", "schleppen"
"(In German) - To hurry. Nicht cilen, do not hurry", "eilen"
"(In German) - To, after", "nach"
"(In German) - Under, lower", "unter"
"(In German) - Very", "sehr"
"(In German) - Waltz", "waltzer"
"(In German) - Weak, soft", "schwach"
"(In German) - With", "mit"
"(In German) - Without", "ohne"
"(In German), motive (Eng.) - (1) A short but recognisable melodic or rhythmic figure. (2) In analysis, this term describes the smallest subdivision of (e.g. a theme). moto (In Italian) - Movement. Con Moto means 'with movement'", "motiv"
"(Gk ., ' breath ' ) - A type of florid passage in plainsong sung to a single vowel", "pneuma"
"(Gk ., 'equal-rhythmed') - A device used in motets around 1300- 1450 in which the rhythmic pattern is repeated according to a strict scheme. This usually occurs in the tenor line in which the rhythm is repeated several times in diminishing note values", "isorhythmic"
"(Gk., ' song'; plural melismata) - Describes a group of notes sung to the same syllable. However, the term is also applied to any florid vocal passage of improvisatory or cadenza-like nature", "melisma"
"(Gk., 'new') - A prefix indicating a new interest in older styles (e.g. neo- romantic refers to composers in the 20th century writing in the romantic style)", "neo"
"(Gk., 'same-sounding') - Music in which parts move together presenting a top melody with accompanying chords. The opposite of polyphony", "homophony"
"(Gk., 'single song') - A term used to describe a solo song with accompaniment (or continuo) in contrast to the polyphonic style in which all parts are of equal importance", "monody"
"(Gk., 'single sound') - This term describes music with a single melody line without support of accompaniment", "monophony"
"(Hung.) - Hungarian dance in contrasting sections (slow and fast)", "csardas"
"(I) A flourish for trumpets (or other imitating instruments) usually for an introduction or proclamation; (2) French for brass band", "fanfare"
"(I) Alternative name for the madrigal; (2) Any piece representing country life", "pastoral"
"(I) An instrumental or vocal piece intended to improve aspects of technique and of no artistic value. (2) The term for a keyboard suite in the 18th century", "exercise"
"(I) Fanfare; (2) Decorative musical figuration notated or improvlsed", "flourish"
"(I) In a rondo, this is a contrasting section between episodical form recurrences of the main theme. (2) In a fugue, it is a section linking (by means of contrast, modulation or possibly using subject material) one entry and another. In both contexts, an episode has a subordinate role", "episode"
"(I) In the early 17th century this described the new expressive music; (2) Between 1850 and 1900 it described the new music of Wagner and Liszt as opposed to the more traditional music of Brahms; (3) Today it refers to music by contemporary composers", "new music"
"(I) Music inserted between other pieces of music (e.g. organ passages between hymn verses); (2) Music inserted between acts of plays or other non-musical events", "interlude"
"(I) On stringed instruments, this is the placing of the left hand fingers on the strings to shorten the vibrating length and to raise the pitch. The terms double stopping, triple stopping, etc. refer to two or three notes simultaneously being played this way; (2) In horn playing, this is the insertion of the hand into the bell of the instrument to alter the pitch and tone quality of a note", "stopping"
"(I) The entrance of a theme in a fugue occurring not only at the beginning but also at later stages in the composition. (2) A 17th century term for a prelude", "entry"
"(I) The interval consisting of two semitones (e.g. C to D)", "whole tone"
"(Ir. caoine) - An Irish funeral song accompanied by wailing", "keen"
"(It . 'wood ') - (1) Direction in some scores to use the woodblock; (2) Direction to string players to hit the string with the back of the bow", "leyno"
"(It ) - End. This term sometimes occurs in the middle of music, often where there is an instruction to repeat an opening section. The directionfine indicates the end of a piece", "fine"
"(In Italian 'a little return') - Many meanings, but the following are the most common. (I) In a concerto, it is a passage for the full orchestra without the soloist; (2) In the 14th century Italian madrigal, the ritornello is the closing section; (3) In early opera, it was an instrumental piece", "ritornello"
"(In Italian 'mano sinistra') - Left hand. Instruction to play with left hand in piano playing", "MS"
"(In Italian ) - Abbreviation for viola da gamba", "gamba"
"(In Italian ) - Morning song", "mattinata"
"(In Italian ) - Very slightly. Superlative of poco", "pochissimo"
"(In Italian, 'a flowering') - Decoration of a melody with ornaments which may be notated or improvised. Evident in 17th and 18th century Italian opera", "fioritura"
"(In Italian, 'a little largo') - Not quite as slow as a largo", "larghetto"
"(In Italian, 'above') - Usually found in piano music indicating that one hand has to pass over the other", "sopra"
"(In Italian, 'alone') - A piece or passage for one performer. A solo concerto is a concerto for one main performer with the others merely accompanving", "solo"
"(In Italian, 'booklet') - The text of an opera or oratorio", "libretto"
"(In Italian, 'broad') - Slow and broad", "largo"
"(In Italian, 'changed note') - A contrapuntal device whereby a dissonant note is used when one expects a consonant one", "nota cambiata"
"(In Italian, 'chest') - In musical contexts used as in voci di petto, chest voice", "petto"
"(In Italian, 'detached') - The note is performed shorter than normal. A dash beneath or above the note indicates that the note is to be played as short as possible. A dot means the note is to be short. The superlative is staccatissimo", "staccato"
"(In Italian, 'evaporated') - Light and airy playing. The term was used by Chopin", "sfogato"
"(In Italian, 'extinct') - Music to be played so that it is barely audible", "estinto"
"(In Italian, 'first lady') - A female singer with the most important part in an opera", "prima donna"
"(In Italian, 'German') - Alla tedesca, in the German fashion, usually implying music to be played in the style of a German dance", "tedesco"
"(In Italian, 'half') - Mezzo-soprano, female voice midway between a soprano and contralto range", "mezzo"
"(In Italian, 'it follows') - An indication that the performer should go straight on to the next section without a break", "segue"
"(In Italian, 'joke') - Generally this is a lively movement, but chiefly developed by Haydn, Mozart and particularly Beethoven from the symphonic minuet. Usually it is in 3 / 4 time in the form A A B A with the B section being called trio", "scherzo"
"(In Italian, 'limp') - Term describes music with a prominent Scotch snap or syncopation", "zoppa"
"(In Italian, 'little opera') - A term applied in the l9th century to lighter styles of opera involving dialogue. Composers included Offenbach, Johann Strauss and Sullivan. This style is sometimes referred to as light opera", "operetta"
"(In Italian, 'little tail') - Similar to coda but on a smaller scale, eg. rounding off a section of a movement as opposed to a whole movement", "codetta"
"(In Italian, 'losing itself') - Gradually dying away", "perdendosi"
"(In Italian, 'master') - This title was given to well-known conductors and composers in Italy. It is now used (sometimes rather amusingly) elsewhere", "maestro"
"(In Italian, 'obligatory') - An obbligato part is one which has an important and unusual special role and cannot be dispensed with, as opposed to an optional part. However, in some l9th century music, the term obbligato was applied to an additional optional part", "obbligato"
"(In Italian, 'obstinate') - A persistently repeated musical figure or rhythm. A basso ostinato or ground bass has this feature in the bass part. otez (In French) - Take off. Otez Ies sourdines, take off the mutes", "ostinato"
"(In Italian, 'pie') - An operatic work with the material drawn from the works of various composers, especially popular in the 18th century", "pasticcio"
"(In Italian, 'place') - An indication to a performer that music is to be played at the pitch written. This direction may (a) cancel previous indications to play at a different pitch or (b) indicate a passage to be played in the normal position as opposed to any other in string music", "loco"
"(In Italian, 'robbed') - An indication to play notes with a controlled flexibility of time by getting slightly quicker or slower. Much used in l9th century music", "rubato"
"(In Italian, 'similar') - Indicates that a phrase, etc. is to be performed in the same manner as the previous one", "simile"
"(In Italian, 'something in the middle') - (I) An instrumental piece in opera, i.e. performed while the stage is empty; (2) A short concert piece. Brahms wrote in this style", "intermezzo"
"(In Italian, 'stage' or 'scene') - (1) A scene in an opera consisting of an extended aria of dramatic nature; (2) A dramatic concert piece for solo voice with accompaniment", "scena"
"(In Italian, 'texture') - The natural compass of a singer's voice, or simply the compass of a vocal or instrumental part in a composition", "tessitura"
"(In Italian, 'tightening') - A heightening of tension in the music which in effect means an increase in speed", "stringendo"
"(In Italian, 'trembling') - Employing tremolo", "tremolando"
"(In Italian, 'truncated') - A note broken off abruptly especially in vocal music", "tronco"
"(In Italian,'tail') - The concluding section at the end of a movement, not usually of structural necessity. However, Beethoven's codas have great significance in his musical design", "coda"
"(In Italian) - (1) But; (2) Abbreviation of the major scale", "ma"
"(In Italian) - (1) In strict time. (2) At a reasonable speed", "giusto"
"(In Italian) - (1) Soft, abbreviation p; (2) Standard abbreviation in French and English for pianoforte", "piano"
"(In Italian) - (I) An instrumental movement with long bass notes giving a drone-like effect in 6 / 8 or 12 / 8 time; (2) Obsolete term for a stage entertainment based on a legendary or rustic subject", "pastorale"
"(In Italian) - (I) The rapid reiteration of a single note. (2) The rapid alteration between two or more notes", "tremolo"
"(In Italian) - A bass line or pattern repeated over and over while upper parts proceed. The ground bass is a foundation for varied melodic, contrapuntal or harmonic treatment. Forms which use this device include the chaconne and passacaglia", "basso ostinato"
"(In Italian) - A bowing indication for string players to play near the bridge to achieve a brittle tone", "sul ponticello"
"(In Italian) - A bowing indication to string players to play near or above the fingerboard, producing a 'colourless' tone", "sul tasto"
"(In Italian) - A comic opera especially in the 18th century (e.g. by Pergolesi)", "opera buffa"
"(In Italian) - A held or sustained note (of a single note or chord) where one might expect to play staccato. Abbreviation is ten", "tenuto"
"(In Italian) - A little duet", "duettino"
"(In Italian) - A measure. Senza misura, not in strict time", "misura"
"(In Italian) - A popular and light Italian strophic song for several voices, with the melody on top, flourishing around 1500. Particularly heard in aristocratic circles", "frottola"
"(In Italian) - A quick Italian dance in 6 / 8 time similar to the tarantella with a characteristic jumping feel to the rhythm. Examples date from the 14th century", "saltarello"
"(In Italian) - A rest (not a pause)", "pausa"
"(In Italian) - A short scherzo", "scherzetto"
"(In Italian) - A shorter, lighter symphony. Also sometimes used as a performing name for small orchestras", "sinfonietta"
"(In Italian) - A suite. This term was much used in the 18th century. In the 17th century, however, a partita was a variation", "partita"
"(In Italian) - A very fast Italian dance with alternating major and minor key sections in 6 / 8 time", "tarantella"
"(In Italian) - Agile and florid style of vocal performance", "coloratura"
"(In Italian) - Alluringly", "lusingando"
"(In Italian) - Always. Sempre piu mosso, always getting faster", "sempre"
"(In Italian) - Animated", "risvegliato"
"(In Italian) - Animated, moving", "mosso"
"(In Italian) - As far as the sign", "fino al segno"
"(In Italian) - As if, almost", "quasi"
"(In Italian) - At a moderate pace. This term is used in other tempos (e.g. allegro moderato, implying a moderately fast pace)", "moderato"
"(In Italian) - At pleasure (e.g. not at any strict speed)", "piacere a"
"(In Italian) - At the same tempo", "istesso tempo"
"(In Italian) - Becoming gradually softer", "decrescendo"
"(In Italian) - Becoming slower. Abbreviation is rit", "ritardando"
"(In Italian) - Becoming slower", "slentando"
"(In Italian) - Broad and deliberate in style", "largamente"
"(In Italian) - By, through, for (e.g. per archi, for strings)", "per"
"(In Italian) - Calm", "tranquillo"
"(In Italian) - Carrying sound. On bowed string instruments or in singing, the effect is obtained by gliding from one note to another higher or lower one, without a break in the sound", "portamento"
"(In Italian) - Change. Direction to the timpani player to change tuning or to the wind player to change instrument", "muta"
"(In Italian) - Clearly articulated. This term is used in string playing for a light, staccato touch created by playing with the middle of the bow and a loose wrist", "splccato"
"(In Italian) - Distant", "lontano"
"(In Italian) - Doubling. Usually indicates doubling of the bass at an octave below", "raddoppiamento"
"(In Italian) - Dragging", "strascinando"
"(In Italian) - Drawn together, close; (1) Indication to quicken pace. (2) In a fugue, the term describes the overlapping of the entries when the subject begins in one voice before the preceding entry has finished", "stretto"
