"ambassador of love", "cabbage rose"
"an appointed meeting", "everlasting pea"
"expectation", "anemone"
"extent", "gourd "
"extinguished hopes", "major convolvulus"
"falsehood", "yellow lily"
"fame", "tulip"
"fantastic extravagance", "scarlet poppy"
"farewell", "michaelmas daisy"
"fashion", "lady's mantle"
"fate", "hemp"
"feasting", "parsley"
"fecundity", "hollyhock"
"female ambition", "white hollyhock"
"female fidelity", "speedwell"
"festivity", "parsley"
"fickleness", "pink larkspur"
"fidelity in love", "lemon blossoms"
"filial love", "virgin's bower"
"fine arts", "acanthus"
"finesse", "sweet william"
"fire, flame", "fleur-de-luce"
"first emotions of love", "purple lilac"
"fitness", "sweet flag"
"flattery", "venus' looking-glass"
"flee away", "pennyroyal"
"folly", "columbine"
"foolishness", "pomegranate"
"foresight", "holly"
"forget me not", "forget-me-not"
"forgetfulness", "moonwort"
"forsaken love", "creeping willow"
"fraternal love", "woodbine"
"freedom", "water willow"
"freshness", "damask rose"
"friendship", "rose acacia"
"gain", "cabbage"
"generosity", "orange tree"
"generous and devoted affection", "french honeysuckle"
"genius", "plane tree"
"girlhood", "white rosebud"
"gladness", "myrrh"
"good wishes", "sweet basil"
"goodness", "mercury"
"gossip", "coboea"
"grace and elegance", "yellow jasmine"
"grace", "multiflora rose"
"gracefulness", "birch tree"
"grandeur", "ash tree"
"happy love", "bridal rose"
"hatred", "basil"
"health", "iceland moss"
"heart's mystery", "crimson polyanthus"
"heartlessness", "hydrangea"
"hidden worth", "coriander"
"honesty", "honesty"
"hope extinguished", "major convolvulus"
"hope in adversity", "spruce pine"
"hopeless love", "yellow tulip"
"hopeless, not heartless", "love-lies bleeding"
"hospitality", "oak tree"
"i am too happy", "cape jasmine"
"i am worthy of you", "white rose"
"i am your captive", "peach blossom"
"i aspire to thy smile", "daily rose"
"i attach myself to you", "indian jamsine"
"i change but in death", "bay leaf"
"i declare against you", "liquorice"
"i desire a return of affection", "jonquil"
"i die if neglected", "laurestina"
"i engage you for the next dance", "ivy geranium"
"i feel your kindness", "flax"
"i have a message for you", "iris"
"i live for thee", "cedar leaf"
"i love", "red chrysanthemum"
"i surmount difficulties", "mistletoe"
"i will not answer hastily", "monthly honeysuckele"
"i will not survive you", "black mulberry"
"imagination", "lupin"
"immortality", "amaranth"
"impatience", "yellow balsam"
"impatient resolves", "red balsam"
"inconstancy in love", "wild honeysuckle"
"inconstancy", "evening primrose"
"incorruptible", "cedar of lebanon"
"indiscretion", "almond tree"
"ingenuity", "pencil-leaved geranium"
"ingenuous simplicity", "mouse-eared chickweed"
"injustice", "hop"
"insincerity", "foxglove"
"insinuation", "great bindweed"
"inspiration", "angelica"
"instability", "dahlia"
"ireland", "shamrock"
"jest", "southernwood"
"joy", "wood sorrel"
"joys to come", "celandine"
"justice shall be done to you", "coltsfoot"
"keep your promises", "plum tree"
"lamentation", "aspen tree"
"lasting pleasure", "everlasting pea"
"levity, lightness", "larkspur"
"life", "lucerne"
"lightheartedness", "shamrock"
"longevity", "fig"
"love in idleness", "wild violet"
"love is dangerous", "carolina rose"
"love of nature", "magnolia"
"love returned", "ambrosia"
"love's oracle", "dandelion"
"lowliness", "bramble"
"luxury", "chesnut tree"
"malevolence", "lobelia"
"marriage", "ivy geranium"
"maternal affection", "cinquefoil"
"maternal love", "moss rosebud"
"maternal tenderness", "wood sorrel"
"matrimony", "american linden"
"meekness", "birch tree"
"mental beauty", "clematis"
"message", "iris "
"modesty and purity", "white lily"
"momentary happiness", "virginian spiderwort"
"my best days are past", "meadow saffron"
"my compliments", "iris"
"my heart is in flames", "provence rose"
"nature love", "magnolia"
"neglected beauty", "throatwort"
"never ceasing remembrance", "everlasting"
"night", "minor convolvulus"
"old age", "tree of life"
"only deserve my love", "campion rose"
"ornament", "hornbeam tree"
"painting", "auricula"
"parental affection", "sorrell"
"patriotism", "nasturtium"
"peace", "olive branch"
"pensiveness", "cowslip"
"perfect excellence", "strawberry"
"perfected loveliness", "white camelia japonica"
"perform your promise", "plum tree"
"perplexity", "love-in-a-mist"
"persecution", "chequered fritillary"
"pity", "pine"
"platonic love", "rose acacia"
"play", "hyacinth"
"pleasant recollections", "white periwinkle"
"pleasure and pain", "dog rose"
"pleasure", "poppy"
"pleasures of memory", "white periwinkle"
"poetry", "eglantine"
"poverty", "evergreen clematis"
"power", "cress"
"precaution", "golden rod"
"precocity", "may rose"
"presumption", "snapdragon"
"pretension", "spiked willow herb"
"prettiness", "pompon rose"
"promptness", "ten-week stock"
"prudence", "mountain iash"
"pure and ardent love", "double red pink"
"pure and lovely", "red rosebud"
"pure love", "single red pink"
"purity and sweetness", "white lily"
"recall", "silver-leaved geranium"
"refusal", "striped carnation"
"regard", "daffodil"
"relieve my anxiety", "christmas rose"
"rendezvous", "chickweed"
"reserve", "maple"
"resolution", "purple columbine"
"restoration", "persicaria"
"retaliation", "scotch thistle"
"return of happiness", "lily of the valley"
"revenge", "birdsfoot trefoil"
"reverie", "flowering gern"
"reward of merit", "bay wreath"
"reward of virtue", "garland of roses"
"riches", "corn"
"rivalry", "rocket"
"rupture of a contract", "broken straw"
"rural happiness", "yellow violet"
"rustic oracle", "dandelion"
"sadness", "dead leaves"
"safety", "traveller's joy"
"satire", "prickly pear"
"self-esteem", "poet's narcissus"
"sensitiveness", "mimosa"
"sensuality", "spanish jasmine"
"separation", "carolina jasmine"
"severity", "branch of thorns"
"shame", "peony"
"sharpness", "barberry"
"shyness", "vetch"
"silliness", "fool's parsley"
"simplicity", "american sweet-brier"
"sincerity", "fern"
"slander", "stinging nettle"
"sleep", "white poppy"
"slighted love", "yellow chrysanthemum"
"splendid beauty", "amarylis"
"steadfast piety", "wild geranium"
"stoicism", "box tree"
"surprise", "truffle"
"suspceptibility", "passion-flower"
"suspicion", "mushroom"
"sweet and secret love", "honey flower"
"the first emotions of love", "purple lilac"
"thou art all that is lovely", "austrian rose"
"thoughts of absent friends", "zinnia"
"true love", "forget-me-not"
"unpretending excellence", "camellia japonica"
"useful knowledge", "parsley"
"warmth of sentiment", "spearmint"
"youthful gladness", "spring crocus"
"youthful innocence", "white lilac"
"a beauty", "orchis"
"a belle", "orchis"
"a heart ignorant of love", "white rosebud"
"a smile", "sweet william"
"absence", "wormwood"
"acknowledgement", "canterbury bell"
"activity", "thyme"
"addresses rejected", "ice plant"
"admiration", "amethyst"
"adoration", "dwarf sunflower"
"advice", "rhubarb"
"affectation", "morning glory"
"afterthought", "michaelmas daisy"
"age", "guelder rose"
"agreement", "straw"
"alas! for my poro heart", "deep red carnation"
"always lovely", "indian double pink"
"am i forgotten?", "holly"
"ambition", "mountain laurel"
"amiability", "jasmine"
