"Meaning A Fairy Queen", "tania"
"Meaning A Gazelle", "tabitha"
"Meaning A Holy Place", "tybal"
"Meaning A Lamb", "teli"
"Meaning A little hill", "tulla"
"Meaning A measure of land", "tate"
"Meaning A Poet", "teague"
"Meaning A Poet", "teige"
"Meaning A Sanctuary", "temple"
"Meaning A Soft Hat", "trilby"
"Meaning A Spice or Palm Tree", "tamara"
"Meaning A Spice or Palm Tree", "tamera"
"Meaning A Twin", "thomas"
"Meaning A Twin", "tomas"
"Meaning A Twin", "tommy"
"Meaning A Window or Goddess of Dawn", "thyra"
"Meaning An Estate", "tanith"
"Meaning AN Smooth", "traelic"
"Meaning Angel", "tuyen"
"Meaning Attractive", "teagan"
"Meaning Bear and Man", "thanos"
"Meaning Beautiful View", "tasanee"
"Meaning Beloved", "tovi"
"Meaning Beloved", "trudy"
"Meaning Bird", "torrin"
"Meaning Bold", "tristessa"
"Meaning Born on Monday", "tanesia"
"Meaning Born on Monday", "tenen"
"Meaning Brave", "tracey"
"Meaning Brave", "tracy"
"Meaning Bringer of Joy", "trixie"
"Meaning Calm, Tranquil", "tranquilla"
"Meaning Catholic Saint", "tertullian"
"Meaning Cheerful, Full of Laughter", "teshi"
"Meaning Cheerful", "tait"
"Meaning Christian", "thina"
"Meaning Church land", "termon"
"Meaning Consecrated to God", "talisa"
"Meaning Corn flower", "talasi"
"Meaning Created", "tawana"
"Meaning Crossroads", "travis"
"Meaning Crowned", "tiara"
"Meaning Damsel Arise", "talisha"
"Meaning Daytime", "tarana"
"Meaning Dear Tammy", "tamatha"
"Meaning Death", "than"
"Meaning Delicate", "tryphena"
"Meaning Delight", "tirzah"
"Meaning Dim. of PATRICIA", "tisha"
"Meaning Dim. of THADDEUS", "thady"
"Meaning Divine Fame", "tecla"
"Meaning Divine Gift", "ted"
"Meaning Divine Gift", "teddy"
"Meaning Divine Gift", "theodore"
"Meaning Divine Gift", "tudor"
"Meaning Drummer", "taber"
"Meaning Earth", "terra"
"Meaning Earth", "terran"
"Meaning Earth", "tuwa"
"Meaning End of the Town", "townsend"
"Meaning Fairy Queen", "tatiana"
"Meaning Faithful Man", "truman"
"Meaning Fame", "tumo"
"Meaning Famous for God", "tekli"
"Meaning Fem. form of Daniel", "taniel"
"Meaning Fem. form of TYRONE", "taryn"
"Meaning Feminine form of TERENCE", "theresa"
"Meaning Fertile Valley", "tilden"
"Meaning Finish, Complete", "thanh"
"Meaning Flourishing", "terah"
"Meaning Forest", "tallis"
"Meaning Forest", "tallys"
"Meaning Form of DANA", "tana"
"Meaning Form of DAVID or Drummer", "tab"
"Meaning Form of TERENCE", "torrance"
"Meaning Form of TERRY", "terryal"
"Meaning Form of THADDEUS", "thadeus"
"Meaning Form of TORRENCE", "torn"
"Meaning Fox", "todd"
"Meaning Fox", "tokala"
"Meaning Fresh Grasses", "trava"
"Meaning From CAMERON", "tameron"
"Meaning From ESTHER", "trella"
"Meaning From GERTRUDE", "trude"
"Meaning FROM GUSTAVE", "tave"
"Meaning From OCTAVIA", "tavia"
"Meaning From TAI and LYNN", "tailynn"
"Meaning FROM TERENCE", "terena"
"Meaning From THAILAND", "tai"
"Meaning From the Gem", "topaz"
"Meaning From the name CATHERINE", "trina"
"Meaning From the name DAVID", "tavita"
"Meaning From the name NATALIE", "tasha"
"Meaning From the name PATRICIA", "tricia"
"Meaning From the name TAMA", "tamah"
"Meaning From the name TAMARA", "tammy"
"Meaning From the name TANIA", "tanya"
"Meaning From the name TERENCE", "terrel"
"Meaning From the name TERENCE", "terrence"
"Meaning From the name TERENCE", "terry"
"Meaning From the name TERRY", "terris"
"Meaning From the name TESS", "tessa"
"Meaning From the name THAD", "tad"
"Meaning From the name THADDEUS", "thad"
"Meaning From the name THEODORE", "theo"
"Meaning From the name THERESA", "teresa"
"Meaning From the name THERESA", "therese"
"Meaning From the name THOMAS", "tom"
"Meaning From the name TIMOTHY", "tim"
"Meaning From the name TODD", "tod"
"Meaning From the name TOPAZ", "topaza"
"Meaning From the name TRISTRAM", "tristan"
"Meaning From the name TWYLA", "twila"
